"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2,C3,C4";"CP_Elec_6.3x7.7";3;"100uF";;;
2;"U1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"DS2482-100";;;
3;"U2";"TO-92_Inline_Narrow_Oval";1;"DS18B20";;;
4;"M1";"D-SUN_DC_DC";1;"DC-DC_REG";;;
5;"J1";"OrangePiPrime";1;"OrangePiPrime";;;
6;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
7;"C1";"C_0603";1;"0.1uF";;;
8;"J4";"RJ45-ChinaSMD";1;"RJ45";;;
9;"R1,R4";"R_0603";2;"10k";;;
10;"R2,R3";"R_0603";2;"4.7k";;;
11;"SW1";"SW_SPST_B3S-1000";1;"SW_Push";;;
12;"J6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"RF_TX";;;
13;"J7";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"RF_RX";;;
14;"R5";"R_0603";1;"16k";;;
15;"ZD1";"TSOC6";1;"DS9503";;;
16;"J2";"Pin_Header_Straight_1x10_Pitch2.54mm";1;"CONN_01X10";;;
17;"J3";"Pin_Header_Straight_2x10_Pitch2.54mm";1;"CONN_02X10";;;
18;"J5";"Pin_Header_Straight_2x03_Pitch2.54mm";1;"CONN_02X03";;;
